Aunt	Tia
Animal	Animal
Airplane	Avião
Air	Ar
Although	Apesar
After	Depois
Apple	Maçã
Application	Aplicação
Huge	Enorme
Habit	Hábito 
Hobby	Passatempo
Hurt	Ferido
Hackneyed	Banal
Harm	Prejuízo
Ham	Presunto
Audio	Audio
Able	capaz
About	Sobre
Accept	Aceitar
Action	Ação
Andress	Endereço
Ball	Bola
Basketball	Basquetebol
Boring	Chato
Baby	Bebe
Born	Nascimento
Bear	Urso
Cap	boné
car	carro
card	carta/cartão
cash	dinheiro
carrot	cenoura
castle	castelo
earthquake	terremoto
eat	comer
economic	económico 
eight	oito
electricity	eletricidade 
exercise	exercício 
eyes	olhos
day	dia
Drink	beber
diagnostic	diagnostico
Diet	dieta
December	dezembro
Vow	Jurar
Vote	Votar
Voice	Voz
Vegetable	Vegetal
Villain	Vilão
Vocation	Vocação
Violence	Violência
Victim	Vitima
Vitamin	Vitamina
Vacation	Férias
Nephew	sobrinho
nurse	enfermeira
neck	pescoço
nation	nação
nail	unha
never	nunca
elephant	elefante 
elevator	elevador
everyone	todos
economy	economia
example	exemplo
exception	excessão
noise	barulho
now	agora
Back	Costas
Beforehand	Antecipadamente
Bad	Mal
Background	Fundo
Balloon	Balão
Banana	Banana
Bang	Estrondo
Bank	Banco
Bargain	Barganha
need	precisar
nervous	nervoso
Jelly	Geléia
Judge	Juíz
dish	prato 
doctor	doutor 
doll	boneca 
drawer	gaveta 
dessert	sobremesa
dear	querido 
Hair	Cabelo
Head	Cabeça
Halloween	Dia das bruxas
However	Contudo
dude	cara
dead	morto 
duck	pato
daily	diariamente
dam	barragem
damage	danificar
damned	condenado
Happy	Feliz
Hard	Difícil 
Handsome	Bonito
Hurricane	Furacão 
kiss	beijo
kind	generoso
Know	conhecer
King	rei
Joint	Junta/Junção
January	Janeiro
Jacket	Jaqueta
Jar	Jarro
Knot	nó
Knee	joelho
Knife	faca
Kite	pipa
Keyboard	teclado
Mad	Louco
Meat	Carne
Magic	Magia 
Market	Mercado
Key	chave
Kid	criança
Keep	manter
Knock	bater
Kick	chutar
Kill	matar
Mayor	Prefeito
Man	Homem
Malice	Malícia 
Manager	Gerente
Many	Muitos
Master	Mestre
Visit	Visitar
Very	Muito
cat	gato
century	seculo
chair	cadeira
challenge	desafio
champion	campeão
channel	canal
cook	cozinhar
copy	copiar
Ears	orelhas
earlier	mais cedo
Journey	Jornada
Junk	Lixo
Jump	Pular
cheap	barato
coffee	café
color	cor
corn	milho
Jewel	Jóia
Jet	Jato
Jew	Judeu
